product_id,quantity,date,branch_id
566,23,2025-12-24,3
583,6,2025-12-24,3
579,4,2025-12-24,3
537,1,2025-12-25,3
573,1,2025-12-25,3
543,2,2025-12-25,3
576,2,2025-12-25,3
572,1,2025-12-25,3
552,10,2025-12-25,3
584,5,2025-12-25,3
566,17,2025-12-25,3
583,7,2025-12-25,3
579,3,2025-12-25,3
537,1,2025-12-26,3
573,1,2025-12-26,3
543,1,2025-12-26,3
576,2,2025-12-26,3
572,1,2025-12-26,3
552,7,2025-12-26,3
584,3,2025-12-26,3
566,16,2025-12-26,3
583,6,2025-12-26,3
579,2,2025-12-26,3
537,1,2025-12-27,3
573,1,2025-12-27,3
543,1,2025-12-27,3
576,1,2025-12-27,3
572,1,2025-12-27,3
552,5,2025-12-27,3
584,2,2025-12-27,3
566,10,2025-12-27,3
583,3,2025-12-27,3
579,1,2025-12-27,3
537,1,2025-12-28,3
573,1,2025-12-28,3
543,1,2025-12-28,3
576,1,2025-12-28,3
572,1,2025-12-28,3
552,4,2025-12-28,3
584,2,2025-12-28,3
566,10,2025-12-28,3
583,3,2025-12-28,3
579,2,2025-12-28,3
537,1,2025-12-29,3
573,1,2025-12-29,3
543,2,2025-12-29,3
576,1,2025-12-29,3
572,1,2025-12-29,3
552,6,2025-12-29,3
584,4,2025-12-29,3
566,14,2025-12-29,3
583,5,2025-12-29,3
579,2,2025-12-29,3
537,1,2025-12-30,3
573,1,2025-12-30,3
543,2,2025-12-30,3
576,2,2025-12-30,3
572,1,2025-12-30,3
552,9,2025-12-30,3
584,5,2025-12-30,3
566,20,2025-12-30,3
583,7,2025-12-30,3
579,3,2025-12-30,3
537,1,2025-12-31,3
573,1,2025-12-31,3
543,2,2025-12-31,3
576,2,2025-12-31,3
572,1,2025-12-31,3
552,8,2025-12-31,3
584,4,2025-12-31,3
566,18,2025-12-31,3
583,5,2025-12-31,3
579,4,2025-12-31,3
537,1,2026-01-01,3
573,1,2026-01-01,3
543,2,2026-01-01,3
576,2,2026-01-01,3
572,1,2026-01-01,3
552,9,2026-01-01,3
584,5,2026-01-01,3
566,16,2026-01-01,3
583,5,2026-01-01,3
579,3,2026-01-01,3
537,1,2026-01-02,3
573,1,2026-01-02,3
543,2,2026-01-02,3
576,1,2026-01-02,3
572,1,2026-01-02,3
552,8,2026-01-02,3
584,4,2026-01-02,3
566,20,2026-01-02,3
583,4,2026-01-02,3
579,3,2026-01-02,3
537,1,2026-01-03,3
573,1,2026-01-03,3
543,1,2026-01-03,3
576,1,2026-01-03,3
572,1,2026-01-03,3
552,4,2026-01-03,3
584,2,2026-01-03,3
566,9,2026-01-03,3
583,3,2026-01-03,3
579,1,2026-01-03,3
537,1,2026-01-04,3
573,1,2026-01-04,3
543,1,2026-01-04,3
576,1,2026-01-04,3
572,1,2026-01-04,3
552,4,2026-01-04,3
584,2,2026-01-04,3
566,10,2026-01-04,3
583,3,2026-01-04,3
579,1,2026-01-04,3
537,1,2026-01-05,3
573,1,2026-01-05,3
543,1,2026-01-05,3
576,2,2026-01-05,3
572,1,2026-01-05,3
552,7,2026-01-05,3
584,4,2026-01-05,3
566,14,2026-01-05,3
583,4,2026-01-05,3
579,3,2026-01-05,3
